location,size,total_sqft,bath,balcony,price,BHK,price_per_sqft
Puttanahalli,3 BHK,1450.0,3.0,1.0,65.0,3,44827.58620689655
Thubarahalli,2 BHK,1200.0,2.0,2.0,78.0,2,65000.0
Hoodi,3 BHK,1639.0,3.0,1.0,98.32,3,59987.79743746186
Jakkuru Layout,2 BHK,1200.0,2.0,1.0,54.0,2,45000.0
Vijayanagar,3 BHK,1739.0,3.0,1.0,116.0,3,66705.00287521564
Old Madras Road,2 BHK,935.0,2.0,1.0,32.72,2,34994.65240641711
Nagondanahalli,2 BHK,1178.0,2.0,3.0,47.0,2,39898.13242784381
Chikkalasandra,3 BHK,1375.0,2.0,1.0,50.0,3,36363.63636363636
Chandapura,3 BHK,1065.0,2.0,1.0,33.0,3,30985.915492957745
2nd Phase Judicial Layout,3 BHK,1450.0,2.0,1.0,50.75,3,35000.0
BEML Layout,2 BHK,999.0,2.0,3.0,45.0,2,45045.04504504504
Kothannur,2 BHK,1100.0,2.0,2.0,40.0,2,36363.63636363636
Lingadheeranahalli,3 BHK,1519.0,3.0,1.0,93.0,3,61224.489795918365
Dommasandra,3 BHK,1267.0,3.0,2.0,56.0,3,44198.89502762431
Sanjay nagar,2 BHK,1150.0,2.0,3.0,72.2,2,62782.608695652176
Marathahalli,2 BHK,1146.0,2.0,1.0,70.0,2,61082.024432809776
Kannamangala,3 BHK,1550.0,3.0,3.0,65.0,3,41935.48387096774
Electronics City Phase 1,1 BHK,785.0,1.0,1.0,55.0,1,70063.69426751592
Raja Rajeshwari Nagar,3 BHK,1610.0,3.0,2.0,74.0,3,45962.73291925466
Bellandur,2 BHK,921.0,2.0,2.0,40.0,2,43431.053203040174
Sarjapur  Road,3 BHK,1700.0,3.0,3.0,110.0,3,64705.882352941175
Sarjapur,2 BHK,1020.0,2.0,2.0,35.0,2,34313.72549019608
Billekahalli,2 BHK,1090.0,2.0,3.0,52.0,2,47706.42201834863
Haralur Road,2 BHK,1027.0,2.0,2.0,44.0,2,42843.23271665044
Thanisandra,2 BHK,1185.0,2.0,2.0,42.1,2,35527.42616033756
Doddathoguru,2 BHK,850.0,2.0,1.0,25.0,2,29411.764705882357
Harlur,2 BHK,1197.0,2.0,1.0,84.0,2,70175.43859649122
Poorna Pragna Layout,2 BHK,920.0,2.0,2.0,39.55,2,42989.13043478261
Raja Rajeshwari Nagar,2 BHK,1105.0,2.0,1.0,65.0,2,58823.52941176471
Yeshwanthpur,3 BHK,1850.0,3.0,3.0,100.0,3,54054.05405405405
Judicial Layout,3 BHK,1300.0,3.0,1.0,64.0,3,49230.769230769234
"Varthur Road,",3 BHK,1595.0,3.0,2.0,76.0,3,47648.90282131662
Horamavu Agara,2 BHK,755.0,2.0,1.0,37.49,2,49655.62913907285
Kanakpura Road,3 BHK,1300.0,2.0,3.0,69.0,3,53076.92307692308
Bannerghatta Road,2 BHK,1215.0,2.0,0.0,50.0,2,41152.2633744856
Kanakpura Road,2 BHK,900.0,2.0,1.0,46.0,2,51111.11111111111
Banashankari Stage III,2 BHK,1145.0,2.0,3.0,58.4,2,51004.36681222708
Chikka Banaswadi,2 BHK,1093.0,2.0,2.0,65.0,2,59469.35041171089
Babusapalaya,3 BHK,1213.0,2.0,2.0,41.39,3,34122.01154163232
Bannerghatta Road,3 BHK,1654.0,3.0,2.0,100.0,3,60459.49214026602
NGR Layout,2 BHK,1105.0,2.0,1.0,52.48,2,47493.21266968326
Babusapalaya,3 BHK,1611.0,2.0,2.0,66.0,3,40968.3426443203
Outer Ring Road East,2 BHK,1367.0,2.0,2.0,62.0,2,45354.79151426481
Devanahalli,2 BHK,1010.0,2.0,1.0,51.0,2,50495.0495049505
Vinayaka Nagar,3 BHK,1535.0,3.0,1.0,95.0,3,61889.25081433225
Horamavu Agara,2 BHK,982.0,2.0,1.0,47.65,2,48523.42158859471
Whitefield,2 BHK,1330.0,2.0,1.0,71.0,2,53383.45864661654
Poorna Pragna Layout,3 BHK,1475.0,2.0,2.0,58.99,3,39993.220338983054
Bhoganhalli,3 BHK,1410.0,3.0,1.0,65.0,3,46099.29078014184
Yelahanka,3 BHK,1614.0,3.0,2.0,95.0,3,58859.97521685254
Neeladri Nagar,2 BHK,1363.0,2.0,2.0,68.0,2,49889.94864269993
Dodda Kempaiah Layout,2 BHK,1015.0,2.0,1.0,45.0,2,44334.97536945813
Horamavu Banaswadi,2 BHK,1156.0,2.0,2.0,46.0,2,39792.3875432526
Hennur Busstop,2 BHK,1100.0,2.0,1.0,62.7,2,57000.0
KR Puram,3 BHK,1455.0,3.0,2.0,46.0,3,31615.12027491409
GB Palya,2 BHK,930.0,2.0,1.0,45.0,2,48387.096774193546
AMS Layout,3 BHK,1650.0,2.0,2.0,80.0,3,48484.84848484849
KR Puram,2 Bedroom,1200.0,2.0,0.0,90.0,2,75000.0
Kadugodi,3 BHK,1890.0,4.0,3.0,127.0,3,67195.7671957672
Gaurava Nagar,3 BHK,1240.0,2.0,2.0,46.0,3,37096.77419354839
HRBR Layout,2 BHK,1440.0,2.0,2.0,98.0,2,68055.55555555556
Budigere,1 BHK,764.0,1.0,1.0,32.0,1,41884.8167539267
Raja Rajeshwari Nagar,3 BHK,1693.0,3.0,3.0,57.39,3,33898.405197873595
Hoodi,3 BHK,1445.0,3.0,2.0,65.0,3,44982.69896193771
Kanakpura Road,2 BHK,900.0,1.0,0.0,45.0,2,50000.0
Yelahanka,3 BHK,1381.0,2.0,2.0,52.48,3,38001.448225923246
Basapura,2 BHK,1100.0,2.0,1.0,60.0,2,54545.454545454544
Hoodi,3 BHK,1575.0,3.0,2.0,66.39,3,42152.38095238096
Thigalarapalya,2 Bedroom,1200.0,2.0,1.0,65.0,2,54166.66666666666
Begur Road,2 BHK,1200.0,2.0,2.0,43.2,2,36000.0
Kasturi Nagar,2 BHK,1080.0,2.0,2.0,80.0,2,74074.07407407407
Akshaya Nagar,3 BHK,1360.0,2.0,2.0,85.0,3,62500.0
Jakkur,3 BHK,1865.0,3.0,1.0,124.0,3,66487.93565683646
Sarjapur  Road,3 BHK,1157.0,2.0,1.0,75.0,3,64822.81763180639
Whitefield,3 BHK,1405.0,2.0,1.0,78.0,3,55516.014234875445
Begur Road,2 BHK,1160.0,2.0,2.0,44.08,2,38000.0
Hebbal,3 BHK,1790.0,3.0,2.0,127.0,3,70949.72067039106
Electronic City,2 BHK,1128.0,2.0,1.0,65.65,2,58200.35460992908
Panathur,2 BHK,1180.0,2.0,1.0,70.0,2,59322.03389830508
AGS Layout,3 BHK,1450.0,2.0,2.0,85.0,3,58620.68965517241
Rachenahalli,2 BHK,1050.0,2.0,2.0,53.5,2,50952.38095238096
Varthur,2 BHK,1125.0,2.0,2.0,40.0,2,35555.555555555555
Vittasandra,2 BHK,1246.0,2.0,1.0,68.0,2,54574.63884430176
HSR Layout,2 BHK,1372.0,2.0,1.0,61.0,2,44460.64139941691
Uttarahalli,3 BHK,1330.0,2.0,1.0,56.0,3,42105.26315789474
Dasarahalli,2 BHK,1300.0,2.0,3.0,55.0,2,42307.69230769231
Channasandra,2 BHK,1065.0,2.0,1.0,35.0,2,32863.849765258215
Belathur,2 BHK,1050.0,2.0,1.0,45.0,2,42857.142857142855
Maruthi HBCS Layout,3 BHK,1250.0,3.0,3.0,39.5,3,31600.0
Electronic City,2 BHK,865.0,2.0,0.0,42.0,2,48554.91329479769
Uttarahalli,2 BHK,1200.0,2.0,2.0,44.0,2,36666.66666666666
Srirampura,3 BHK,1756.0,3.0,3.0,100.0,3,56947.60820045558
5th Phase JP Nagar,2 BHK,1207.0,2.0,2.0,63.0,2,52195.526097763046
Kalena Agrahara,3 BHK,1765.0,3.0,1.0,125.0,3,70821.5297450425
Electronic City,2 BHK,1130.0,2.0,1.0,32.64,2,28884.95575221239
Devanahalli Road,3 BHK,1532.0,3.0,3.0,92.0,3,60052.21932114883
Ejipura,3 BHK,1650.0,3.0,0.0,110.0,3,66666.66666666667
Doddathoguru,2 BHK,1200.0,2.0,2.0,75.0,2,62500.0
Kengeri,2 BHK,1197.0,2.0,2.0,50.0,2,41771.09440267335
Green Woods Layout,2 BHK,1200.0,2.0,2.0,66.0,2,55000.0
Uttarahalli,3 BHK,1385.0,2.0,2.0,48.48,3,35003.61010830325
Immadihalli,2 BHK,1180.0,2.0,2.0,48.0,2,40677.96610169492
Banagiri Nagar,3 BHK,1525.0,2.0,3.0,122.0,3,80000.0
Ananth Nagar,2 BHK,1100.0,2.0,2.0,31.5,2,28636.36363636364
Hiremath Layout,3 BHK,1435.0,3.0,3.0,70.0,3,48780.48780487805
Dommasandra,2 BHK,1200.0,2.0,2.0,50.0,2,41666.66666666666
Whitefield,2 BHK,1272.0,2.0,1.0,95.05,2,74724.8427672956
Whitefield,2 BHK,1205.0,2.0,1.0,39.0,2,32365.14522821577
Kalena Agrahara,2 BHK,980.0,2.0,1.0,40.0,2,40816.32653061225
Malleshpalya,2 BHK,1225.0,2.0,2.0,46.86,2,38253.06122448979
Whitefield,3 BHK,1541.0,3.0,1.0,72.0,3,46722.90720311486
Ramagondanahalli,3 BHK,1610.0,2.0,2.0,111.0,3,68944.09937888199
Jalahalli,2 BHK,1694.0,2.0,2.0,125.0,2,73789.84651711925
Kaggalipura,2 BHK,950.0,2.0,1.0,39.0,2,41052.63157894737
Muneshwara Nagar,3 BHK,1560.0,2.0,3.0,66.0,3,42307.69230769231
Chandapura,2 Bedroom,1500.0,2.0,1.0,60.0,2,40000.0
Malleshpalya,3 BHK,1785.0,3.0,2.0,75.0,3,42016.80672268908
Raja Rajeshwari Nagar,2 BHK,1258.0,2.0,1.0,63.53,2,50500.79491255962
Electronic City,2 BHK,910.0,2.0,2.0,42.0,2,46153.84615384616
Kundalahalli,2 BHK,1291.0,2.0,3.0,49.0,2,37955.07358636716
Chikkasandra,2 BHK,1070.0,2.0,2.0,42.0,2,39252.33644859813
Varthur,2 BHK,1012.0,2.0,1.0,66.5,2,65711.46245059288
Mahadevpura,2 BHK,1260.0,2.0,3.0,57.6,2,45714.28571428572
Sarjapur  Road,2 BHK,1282.0,2.0,2.0,72.0,2,56162.24648985959
Kanakpura Road,3 BHK,1843.0,3.0,2.0,92.15,3,50000.0
EPIP Zone,2 BHK,1330.0,2.0,1.0,86.98,2,65398.496240601504
Konanakunte,3 BHK,1400.0,2.0,1.0,73.0,3,52142.857142857145
Whitefield,2 BHK,1192.0,2.0,1.0,71.0,2,59563.75838926175
Thigalarapalya,2 BHK,1297.0,2.0,2.0,103.0,2,79414.03238242098
Vijayanagar,3 BHK,1490.0,3.0,2.0,100.0,3,67114.09395973154
Rayasandra,3 BHK,1373.0,3.0,2.0,72.0,3,52439.91260014567
7th Phase JP Nagar,2 BHK,1035.0,2.0,1.0,41.39,2,39990.33816425121
Doddakallasandra,2 BHK,1010.0,2.0,1.0,40.39,2,39990.09900990099
Sarjapur,2 BHK,1195.0,2.0,1.0,42.0,2,35146.44351464435
HSR Layout,3 BHK,1750.0,3.0,2.0,95.0,3,54285.71428571428
Malleshpalya,2 BHK,1052.0,2.0,2.0,50.0,2,47528.51711026616
Horamavu Banaswadi,2 BHK,1180.0,2.0,2.0,58.0,2,49152.54237288136
Raja Rajeshwari Nagar,2 BHK,1128.0,2.0,2.0,38.24,2,33900.70921985816
JP Nagar,2 BHK,1120.0,2.0,2.0,33.6,2,30000.0
Manjunatha Layout,2 BHK,1300.0,2.0,1.0,60.0,2,46153.84615384616
Kanakapura,2 BHK,1090.0,2.0,2.0,32.69,2,29990.82568807339
Uttarahalli,3 BHK,1330.0,2.0,2.0,46.55,3,35000.0
Hosur Road,3 BHK,1427.0,2.0,1.0,80.63,3,56503.1534688157
Banjara Layout,3 BHK,1294.0,2.0,2.0,48.0,3,37094.28129829984
Begur,3 BHK,1580.0,3.0,2.0,75.0,3,47468.35443037975
Chikka Tirupathi,3 Bedroom,1808.0,4.0,2.0,80.27,3,44397.12389380531
Parappana Agrahara,2 BHK,1194.0,2.0,2.0,47.0,2,39363.48408710218
Kanakpura Road,2 BHK,900.0,2.0,1.0,46.0,2,51111.11111111111
Abbaiah Reddy Layout,3 BHK,1310.0,2.0,3.0,50.0,3,38167.93893129771
Kanakpura Road,2 BHK,900.0,2.0,1.0,46.0,2,51111.11111111111
Koramangala,2 BHK,1290.0,2.0,3.0,100.0,2,77519.37984496124
Tavarekere,4 Bedroom,1200.0,4.0,2.0,72.0,4,60000.0
Bisuvanahalli,2 BHK,845.0,2.0,1.0,33.0,2,39053.25443786982
Yelahanka,3 BHK,1537.0,3.0,3.0,120.0,3,78074.17046193885
Immadihalli,2 BHK,1135.0,2.0,2.0,68.0,2,59911.89427312776
Hoodi,3 BHK,1512.0,3.0,2.0,75.77,3,50112.43386243386
Srinivasa Nagar,2 BHK,900.0,2.0,1.0,55.0,2,61111.11111111111
Jigani,3 BHK,1230.0,3.0,3.0,54.0,3,43902.439024390245
Thirumenahalli,3 BHK,1378.0,2.0,3.0,42.33,3,30718.43251088534
Whitefield,2 BHK,1277.0,2.0,1.0,61.3,2,48003.13234142522
KPC Layout,2 BHK,1210.0,2.0,2.0,62.0,2,51239.6694214876
HOSUR MAIN ROAD,3 BHK,1464.0,3.0,2.0,56.0,3,38251.366120218576
Electronic City,2 BHK,975.0,2.0,2.0,37.5,2,38461.53846153846
Rajiv Nagar,3 BHK,1690.0,3.0,1.0,125.0,3,73964.49704142012
Hosa Road,2 BHK,1063.0,2.0,1.0,31.89,2,30000.0
Daadys Gaarden Layout,3 BHK,1600.0,3.0,0.0,80.0,3,50000.0
Maruthi Nagar,3 BHK,1250.0,3.0,1.0,39.5,3,31600.0
Munnekollal,3 BHK,1390.0,3.0,2.0,68.0,3,48920.86330935252
Whitefield,2 BHK,1185.0,2.0,2.0,40.0,2,33755.27426160337
Sahakara Nagar,2 BHK,1219.0,2.0,2.0,48.0,2,39376.53814602133
Kudlu Gate,3 BHK,1564.0,2.0,1.0,92.0,3,58823.52941176471
Hosa Road,2 BHK,1100.0,2.0,2.0,37.1,2,33727.27272727273
Kothannur,3 BHK,1300.0,2.0,0.0,60.0,3,46153.84615384616
Chikkabanavar,3 Bedroom,1600.0,2.0,0.0,80.0,3,50000.0
Ramamurthy Nagar,3 Bedroom,1600.0,3.0,2.0,75.0,3,46875.0
Hennur Road,3 BHK,1482.0,2.0,1.0,92.0,3,62078.2726045884
Marsur,3 Bedroom,1000.0,4.0,3.0,66.0,3,66000.0
Shampura,2 BHK,1200.0,2.0,3.0,53.0,2,44166.66666666666
Kengeri,2 BHK,1200.0,2.0,0.0,58.0,2,48333.333333333336
Marathahalli,3 BHK,1469.0,3.0,1.0,89.0,3,60585.4322668482
Electronics City Phase 1,2 BHK,1160.0,2.0,1.0,52.0,2,44827.58620689655
Balagere,2 BHK,1205.0,2.0,1.0,78.5,2,65145.22821576764
Kasavanhalli,3 BHK,1550.0,2.0,3.0,52.0,3,33548.3870967742
Gubbalala,3 BHK,1745.0,3.0,2.0,125.0,3,71633.23782234958
AECS Layout,2 BHK,1028.0,2.0,1.0,42.0,2,40856.03112840467
Karuna Nagar,3 BHK,1200.0,2.0,1.0,34.0,3,28333.33333333333
Kallumantapa,2 BHK,1100.0,2.0,2.0,50.0,2,45454.545454545456
Ramamurthy Nagar,2 Bedroom,1200.0,3.0,1.0,72.0,2,60000.0
Kaverappa Layout,2 BHK,1269.72,2.0,2.0,68.0,2,53555.114513436034
Electronic City Phase II,2 BHK,1266.0,2.0,2.0,59.0,2,46603.47551342812
Mysore Road,2 BHK,1060.0,2.0,1.0,62.0,2,58490.56603773585
Malimakanapura,3 Bedroom,1168.0,3.0,0.0,70.0,3,59931.50684931507
Medahalli,2 BHK,1552.0,2.0,1.0,51.0,2,32860.82474226804
Hulimavu,2 BHK,1080.0,2.0,2.0,43.2,2,40000.0
Rustam Bagh Layout,2 BHK,1300.0,2.0,2.0,65.0,2,50000.0
Electronics City Phase 1,2 BHK,920.0,2.0,2.0,33.0,2,35869.565217391304
Harlur,2 BHK,1310.0,2.0,1.0,50.0,2,38167.93893129771
Horamavu Agara,3 BHK,1650.0,2.0,1.0,75.0,3,45454.545454545456
Garden Layout,3 BHK,1515.0,3.0,3.0,93.93,3,62000.0
Raja Rajeshwari Nagar,2 BHK,1157.0,2.0,1.0,53.8,2,46499.567847882456
"Hoodi Circle,",2 BHK,1243.0,2.0,1.0,58.0,2,46661.30329847144
Rachenahalli,3 BHK,1530.0,2.0,2.0,74.39,3,48620.91503267974
Yelahanka,3 BHK,1815.0,3.0,2.0,82.0,3,45179.06336088154
Electronic City Phase II,2 BHK,1000.0,2.0,1.0,28.88,2,28880.0
Ananth Nagar,2 BHK,982.0,2.0,2.0,24.55,2,25000.0
Hennur Road,2 BHK,1232.0,2.0,2.0,89.0,2,72240.25974025975
Bannerghatta Road,2 BHK,1181.0,2.0,0.0,55.0,2,46570.70279424217
Bisuvanahalli,3 BHK,1075.0,2.0,1.0,45.0,3,41860.46511627907
T K Reddy Layout,3 BHK,1616.0,3.0,1.0,75.0,3,46410.89108910891
Whitefield,3 BHK,1306.0,3.0,2.0,54.65,3,41845.32924961715
Whitefield,3 BHK,1626.0,3.0,3.0,89.0,3,54735.54735547356
Whitefield,3 BHK,1585.0,3.0,2.0,88.0,3,55520.5047318612
7th Phase JP Nagar,2 BHK,1370.0,2.0,1.0,56.17,2,41000.0
Kanakpura Road,2 BHK,1495.0,2.0,2.0,90.0,2,60200.66889632107
Bannerghatta,3 Bedroom,1375.0,3.0,0.0,57.0,3,41454.545454545456
Kereguddadahalli,3 BHK,1400.0,2.0,2.0,48.0,3,34285.71428571428
Yelahanka,2 BHK,1150.0,2.0,2.0,46.0,2,40000.0
Hebbal,2 BHK,1080.0,2.0,1.0,54.0,2,50000.0
Kaikondrahalli,3 BHK,1645.0,3.0,2.0,100.0,3,60790.273556231004
Mahaganapathy Nagar,2 BHK,1410.0,2.0,3.0,67.0,2,47517.7304964539
Huskur,2 BHK,1090.0,2.0,1.0,31.48,2,28880.73394495413
Sarjapur  Road,2 BHK,1300.0,2.0,2.0,60.0,2,46153.84615384616
9th Phase JP Nagar,3 BHK,1890.0,2.0,2.0,85.0,3,44973.54497354497
Belathur,2 BHK,1254.0,2.0,1.0,53.0,2,42264.75279106858
Kathriguppe,3 BHK,1245.0,2.0,2.0,68.48,3,55004.01606425703
Rustam Bagh Layout,2 BHK,1170.0,2.0,2.0,86.0,2,73504.2735042735
Panathur,2 BHK,1193.0,2.0,1.0,86.0,2,72087.17518860017
Chandapura,2 BHK,850.0,2.0,1.0,25.4,2,29882.352941176472
Marathahalli,3 BHK,1678.0,3.0,3.0,70.0,3,41716.32896305125
Gunjur,3 BHK,1600.0,3.0,3.0,75.0,3,46875.0
Electronics City Phase 1,3 BHK,1750.0,3.0,2.0,84.0,3,48000.0
Whitefield,2 BHK,1125.0,2.0,2.0,62.0,2,55111.11111111111
Singena Agrahara,3 Bedroom,1285.9964027518652,3.0,1.0,95.0,3,49976.21764110642
Vittal Nagar,2 BHK,1000.0,2.0,1.0,50.0,2,50000.0
Electronic City Phase II,3 BHK,1320.0,2.0,1.0,38.13,3,28886.36363636364
Kasavanhalli,2 BHK,1100.0,2.0,1.0,50.0,2,45454.545454545456
Uttarahalli,2 BHK,882.0,2.0,1.0,30.0,2,34013.60544217687
Bisuvanahalli,2 BHK,845.0,2.0,1.0,37.0,2,43786.98224852071
Kambipura,2 BHK,883.0,2.0,1.0,39.0,2,44167.610419026045
Brookefield,3 BHK,1595.0,3.0,3.0,88.0,3,55172.41379310345
Whitefield,2 BHK,1280.0,2.0,0.0,85.0,2,66406.25
Bhuvaneshwari Nagar,2 BHK,920.0,2.0,0.0,35.0,2,38043.47826086957
Choodasandra,2 BHK,1300.0,2.0,3.0,57.0,2,43846.15384615384
Harlur,3 BHK,1757.0,3.0,2.0,132.0,3,75128.0591918042
Sarjapur,2 BHK,1240.0,2.0,1.0,44.0,2,35483.87096774193
EPIP Zone,2 BHK,1330.0,2.0,1.0,93.36,2,70195.4887218045
8th Phase JP Nagar,2 BHK,1062.0,2.0,1.0,42.47,2,39990.58380414313
JP Nagar,2 BHK,1078.0,2.0,2.0,45.0,2,41743.97031539889
Bannerghatta Road,3 BHK,1460.0,2.0,2.0,72.0,3,49315.06849315069
Whitefield,3 Bedroom,1200.0,3.0,2.0,68.5,3,57083.333333333336
Laggere,1 BHK,1200.0,1.0,1.0,48.0,1,40000.0
Kammasandra,3 BHK,912.0,2.0,1.0,39.0,3,42763.15789473684
Hosa Road,3 BHK,1285.9964027518652,3.0,1.0,115.0,3,49976.21764110642
Mysore Road,2 BHK,980.0,2.0,1.0,45.47,2,46397.95918367347
Sarjapur  Road,2 BHK,1000.0,2.0,2.0,40.0,2,40000.0
Sarjapur  Road,2 BHK,1050.0,2.0,1.0,62.0,2,59047.619047619046
Domlur,3 BHK,1875.0,2.0,2.0,150.0,3,80000.0
Hennur Road,2 BHK,1065.0,2.0,1.0,42.6,2,40000.0
Tumkur Road,2 BHK,1098.0,2.0,1.0,72.0,2,65573.77049180328
5th Phase JP Nagar,3 BHK,1725.0,2.0,2.0,100.0,3,57971.01449275362
Thubarahalli,2 BHK,1128.0,2.0,2.0,75.0,2,66489.36170212766
Yelahanka,3 BHK,1705.0,3.0,1.0,74.16,3,43495.60117302053
Thigalarapalya,2 BHK,1418.0,2.0,2.0,95.0,2,66995.76868829338
Hebbal,2 BHK,1100.0,2.0,2.0,50.0,2,45454.545454545456
KUDLU MAIN ROAD,3 BHK,1464.0,3.0,2.0,56.0,3,38251.366120218576
Hebbal,2 BHK,812.0,2.0,2.0,55.0,2,67733.99014778325
Doddanekundi,2 BHK,1280.0,2.0,2.0,40.0,2,31250.0
BSM Extension,2 BHK,840.0,2.0,2.0,27.0,2,32142.85714285714
Jigani,2 BHK,914.0,2.0,2.0,47.0,2,51422.31947483589
Hennur Road,3 BHK,1482.0,2.0,2.0,83.73,3,56497.975708502025
Kundalahalli,3 BHK,1724.0,3.0,2.0,127.0,3,73665.89327146171
Vijinapura,3 BHK,1670.0,3.0,3.0,91.86,3,55005.98802395209
Banaswadi,2 BHK,1184.0,2.0,3.0,53.0,2,44763.51351351351
Kodigehaali,2 BHK,1200.0,2.0,1.0,55.0,2,45833.333333333336
TC Palaya,2 Bedroom,1200.0,2.0,0.0,65.0,2,54166.66666666666
Jigani,2 BHK,927.0,2.0,2.0,55.0,2,59331.175836030205
P&T Layout,2 BHK,1242.0,2.0,3.0,39.7,2,31964.573268921096
Electronic City Phase II,3 BHK,1220.0,3.0,1.0,35.23,3,28877.049180327867
Electronic City,3 BHK,1360.0,2.0,1.0,75.0,3,55147.05882352941
7th Phase JP Nagar,2 BHK,1180.0,2.0,2.0,72.0,2,61016.94915254237
Whitefield,3 BHK,1697.0,3.0,2.0,108.0,3,63641.72068355922
Hennur,2 BHK,1225.0,2.0,1.0,57.0,2,46530.61224489796
Byrasandra,3 BHK,1690.0,2.0,2.0,55.0,3,32544.378698224853
Chowdeshwari Layout,3 BHK,1250.0,2.0,1.0,80.0,3,64000.0
JP Nagar,1 BHK,1050.0,1.0,1.0,44.0,1,41904.76190476191
HSR Layout,2 BHK,1027.0,2.0,2.0,44.0,2,42843.23271665044
Kanakpura Road,3 BHK,1699.0,3.0,3.0,81.94,3,48228.36962919364
Whitefield,2 BHK,1205.0,2.0,2.0,58.0,2,48132.78008298755
Horamavu Agara,2 BHK,950.0,2.0,3.0,39.0,2,41052.63157894737
TC Palaya,2 Bedroom,1200.0,2.0,0.0,70.0,2,58333.333333333336
Akshaya Nagar,3 BHK,1476.0,3.0,1.0,120.0,3,81300.81300813008
CV Raman Nagar,2 BHK,1070.0,2.0,1.0,55.0,2,51401.86915887851
Sector 2 HSR Layout,2 BHK,1296.0,2.0,1.0,75.0,2,57870.37037037037
Chikkalasandra,2 Bedroom,1800.0,1.0,1.0,128.0,2,71111.11111111111
Kanakpura Road,3 BHK,1570.0,3.0,3.0,64.5,3,41082.8025477707
Sarjapur,4 BHK,1550.0,2.0,2.0,65.0,4,41935.48387096774
Electronic City,2 BHK,770.0,1.0,1.0,40.0,2,51948.05194805195
Domlur,3 BHK,1429.0,3.0,3.0,86.0,3,60181.945416375085
Babusapalaya,3 BHK,1167.0,2.0,2.0,39.98,3,34258.78320479863
Bommasandra,2 BHK,1035.0,2.0,1.0,41.73,2,40318.840579710144
Kengeri,3 BHK,1188.0,2.0,2.0,38.0,3,31986.531986531987
Sarjapur,3 Bedroom,1285.9964027518652,3.0,1.0,76.0,3,49976.21764110642
Nagarbhavi,1 BHK,884.0,2.0,2.0,36.0,1,40723.98190045249
Haralur Road,2 BHK,1194.0,2.0,2.0,46.0,2,38525.96314907873
Hoodi,2 BHK,1026.0,2.0,1.0,60.87,2,59327.48538011696
Kaikondrahalli,2 BHK,1115.0,2.0,2.0,50.0,2,44843.04932735426
Subramanyapura,2 BHK,975.0,2.0,1.0,58.0,2,59487.179487179485
OMBR Layout,2 BHK,1101.0,2.0,2.0,65.5,2,59491.3714804723
Sarjapur  Road,3 BHK,1700.0,3.0,3.0,135.0,3,79411.76470588235
Badavala Nagar,3 BHK,1494.0,2.0,2.0,94.55,3,63286.47925033467
Hennur Road,3 BHK,1482.0,2.0,1.0,87.0,3,58704.45344129555
Rustam Bagh Layout,2 BHK,800.0,2.0,3.0,50.0,2,62500.0
Raja Rajeshwari Nagar,2 BHK,1185.0,2.0,2.0,47.39,2,39991.5611814346
Hulimavu,2 BHK,1100.0,2.0,2.0,71.5,2,65000.0
Hulimavu,3 BHK,1758.0,3.0,2.0,65.0,3,36973.83390216155
Banaswadi,2 BHK,1145.0,2.0,2.0,55.0,2,48034.9344978166
Hormavu,2 BHK,1180.0,2.0,2.0,50.0,2,42372.8813559322
Belatur,2 BHK,1260.0,2.0,2.0,58.0,2,46031.74603174603
Arekere,2 BHK,1190.0,2.0,2.0,55.0,2,46218.48739495799
Sarjapur  Road,3 BHK,1691.0,3.0,2.0,119.0,3,70372.5606150207
Kogilu,2 BHK,1140.0,2.0,1.0,50.66,2,44438.59649122807
Nallurhalli,2 BHK,1250.0,2.0,2.0,65.0,2,52000.0
Chinnapanahalli,2 BHK,1225.0,2.0,2.0,48.0,2,39183.67346938775
Kereguddadahalli,2 BHK,800.0,2.0,2.0,28.0,2,35000.0
Jalahalli East,2 BHK,1020.0,2.0,1.0,58.0,2,56862.74509803922
Lingarajapuram,2 Bedroom,1350.0,2.0,1.0,80.0,2,59259.25925925926
Anekal,2 BHK,925.0,2.0,1.0,40.0,2,43243.24324324324
Frazer Town,3 BHK,1510.0,2.0,1.0,75.0,3,49668.87417218543
Laxmi Sagar Layout,3 BHK,1614.0,3.0,1.0,110.0,3,68153.6555142503
Gottigere,2 Bedroom,1200.0,2.0,0.0,95.0,2,79166.66666666667
TC Palaya,2 Bedroom,900.0,2.0,0.0,55.0,2,61111.11111111111
OMBR Layout,2 BHK,1041.0,2.0,2.0,65.5,2,62920.26897214217
Marathahalli,3 BHK,1530.0,3.0,2.0,74.5,3,48692.81045751634
Bannerghatta Road,2 BHK,1200.0,2.0,2.0,75.0,2,62500.0
Hosur Road,3 BHK,1508.0,2.0,1.0,110.0,3,72944.29708222812
Dodda Nekkundi Extension,2 BHK,1188.0,2.0,3.0,73.0,2,61447.81144781145
Harlur,2 BHK,1174.0,2.0,1.0,76.0,2,64735.9454855196
Old Madras Road,3 BHK,1350.0,3.0,1.0,58.99,3,43696.2962962963
Hosur Road,2 BHK,1345.0,2.0,2.0,106.0,2,78810.40892193309
Begur Road,2 BHK,1200.0,2.0,2.0,45.0,2,37500.0
Nagavarapalya,2 BHK,980.0,2.0,0.0,37.0,2,37755.10204081632
Hormavu,2 BHK,1050.0,2.0,1.0,77.0,2,73333.33333333333
